timestamp,latitude,longitude,speed,status,alert,maps_link
2026-06-14 19:41:51.485401,12.97090101850291,77.5949586059691,44.5,Moving,Normal,"https://www.google.com/maps?q=12.97090101850291,77.5949586059691"
2026-06-14 19:41:54.513204,12.970946902377529,77.59497162370886,52.78,Moving,Normal,"https://www.google.com/maps?q=12.970946902377529,77.59497162370886"
2026-06-14 19:41:57.527907,12.971338174757218,77.5952741488908,24.9,Moving,Normal,"https://www.google.com/maps?q=12.971338174757218,77.5952741488908"
2026-06-14 19:42:00.540079,12.971179379071627,77.59481340031272,25.24,Moving,Normal,"https://www.google.com/maps?q=12.971179379071627,77.59481340031272"
2026-06-14 19:42:03.563748,12.97105151221462,77.59454259967467,22.46,Moving,Normal,"https://www.google.com/maps?q=12.97105151221462,77.59454259967467"
2026-06-14 19:42:06.573646,12.970979051064313,77.59404008922375,78.92,Moving,Normal,"https://www.google.com/maps?q=12.970979051064313,77.59404008922375"
2026-06-14 19:42:09.587988,12.970751533247872,77.59341969600833,61.52,Moving,Normal,"https://www.google.com/maps?q=12.970751533247872,77.59341969600833"
2026-06-14 19:42:12.597525,12.971137050204348,77.59351360641209,68.52,Moving,Normal,"https://www.google.com/maps?q=12.971137050204348,77.59351360641209"
2026-06-14 19:42:15.608040,12.97157669412789,77.59319917956348,49.12,Moving,Normal,"https://www.google.com/maps?q=12.97157669412789,77.59319917956348"
2026-06-14 19:42:18.617221,12.97095198075995,77.59283314095372,54.48,Moving,Normal,"https://www.google.com/maps?q=12.97095198075995,77.59283314095372"
2026-06-14 19:42:21.626087,12.971549739768939,77.59285557592735,56.27,Moving,Normal,"https://www.google.com/maps?q=12.971549739768939,77.59285557592735"
2026-06-14 19:42:24.634982,12.971037391001696,77.59226726352634,42.93,Moving,Normal,"https://www.google.com/maps?q=12.971037391001696,77.59226726352634"
2026-06-14 19:42:27.645133,12.971202409227441,77.5917118612602,69.35,Moving,Normal,"https://www.google.com/maps?q=12.971202409227441,77.5917118612602"
2026-06-14 19:42:30.663028,12.971826922004759,77.59204513393279,22.67,Moving,Normal,"https://www.google.com/maps?q=12.971826922004759,77.59204513393279"
2026-06-14 19:42:33.669445,12.971847734794967,77.59124875658001,39.71,Moving,Normal,"https://www.google.com/maps?q=12.971847734794967,77.59124875658001"
2026-06-14 19:42:36.684723,12.971321309631254,77.59143042247115,56.99,Moving,Normal,"https://www.google.com/maps?q=12.971321309631254,77.59143042247115"
2026-06-14 19:42:39.697188,12.971317711039676,77.59211706448502,62.41,Moving,Normal,"https://www.google.com/maps?q=12.971317711039676,77.59211706448502"
2026-06-14 19:42:42.709825,12.970823802400204,77.59183300181732,77.79,Moving,Normal,"https://www.google.com/maps?q=12.970823802400204,77.59183300181732"
2026-06-14 19:42:45.719013,12.971375317640947,77.59111809481757,44.31,Moving,Normal,"https://www.google.com/maps?q=12.971375317640947,77.59111809481757"
2026-06-14 19:42:48.746248,12.97151507698021,77.59055063590195,56.59,Moving,Normal,"https://www.google.com/maps?q=12.97151507698021,77.59055063590195"
2026-06-14 19:42:51.757689,12.97220616089647,77.5900029372431,66.27,Moving,Normal,"https://www.google.com/maps?q=12.97220616089647,77.5900029372431"
2026-06-14 19:42:54.783383,12.972527931565022,77.58940768207182,46.03,Moving,Normal,"https://www.google.com/maps?q=12.972527931565022,77.58940768207182"
2026-06-14 19:42:57.792370,12.971755687517014,77.59013515159839,22.01,Moving,Normal,"https://www.google.com/maps?q=12.971755687517014,77.59013515159839"
2026-06-14 19:43:00.818259,12.9722502721193,77.59054100824227,23.86,Moving,Normal,"https://www.google.com/maps?q=12.9722502721193,77.59054100824227"
2026-06-14 19:43:03.829868,12.972443452281999,77.59047368269096,60.79,Moving,Normal,"https://www.google.com/maps?q=12.972443452281999,77.59047368269096"
2026-06-14 19:43:06.838554,12.972506557144973,77.58982839657072,51.3,Moving,Normal,"https://www.google.com/maps?q=12.972506557144973,77.58982839657072"
2026-06-14 19:43:09.842667,12.973062110866067,77.58980467154065,48.42,Moving,Normal,"https://www.google.com/maps?q=12.973062110866067,77.58980467154065"
2026-06-14 19:43:12.857959,12.972804333355628,77.58957366602013,51.2,Moving,Normal,"https://www.google.com/maps?q=12.972804333355628,77.58957366602013"
2026-06-14 19:43:15.870752,12.973193758844412,77.58981334551878,57.52,Moving,Normal,"https://www.google.com/maps?q=12.973193758844412,77.58981334551878"
2026-06-14 19:43:18.884199,12.97397750266606,77.58983172414106,77.69,Moving,Normal,"https://www.google.com/maps?q=12.97397750266606,77.58983172414106"
